MAPPING_CODE;SCOPE_TYPE;SCOPE_CODE;DOMAIN_CODE;INDICATOR_CODE;ORGANIZATION_CODE;ORGANIZATION_ROLE_CODE;ENDPOINT_CODE;PROVIDER_SERIES_CODE;PROVIDER_SERIES_NAME;FREQUENCY_NATIVE;UNIT_CODE;CURRENCY_CODE;IS_PRIMARY_SOURCE;SOURCE_PRIORITY;COLLECTION_STATUS;VALID_FROM;VALID_TO;VALIDATION_STATUS;USAGE_TARGET;SOURCE_NOTE
MAROC_D04_CPI;COUNTRY;MAROC;D04;INDICE_PRIX_CONSOMMATION;HCP_MAROC;STATISTICS_OFFICE;HCP_MAROC_DATA;;;MONTHLY;INDEX_LEVEL;;1;1;SOURCE_IDENTIFIED;;;VALIDATED;REAL_RETURN|REAL_RATE;OFFICIAL_ORGANIZATION_AND_ENDPOINT_VERIFIED
MAROC_D07_POLICY_RATE;COUNTRY;MAROC;D07;TAUX_DIRECTEUR;BAM;CENTRAL_BANK;BAM_OFFICIAL;;;EVENT_DRIVEN;PERCENT;;1;1;SOURCE_IDENTIFIED;;;VALIDATED;MONEY_MARKET_INDEX|WTI_BENCH_MONETAIRE;SERIES_TO_IDENTIFY
MAROC_D09_FX;COUNTRY;MAROC;D09;FX_MAD_EUR_USD;BAM;FX_REFERENCE_RATE_PROVIDER;BAM_OFFICIAL;;;DAILY;FX_RATE;MAD;1;1;SOURCE_IDENTIFIED;;;PENDING;LOCAL_EUR_USD_CONVERSION;SERIES_TO_IDENTIFY
MAROC_D10_YIELD_CURVE;COUNTRY;MAROC;D10;COURBE_TAUX_SOUVERAINE;BAM;CENTRAL_BANK;BAM_OFFICIAL;;;DAILY;PERCENT;MAD;1;1;SOURCE_IDENTIFIED;;;PENDING;FIXED_INCOME_MARKET_INDEX|WTI_BENCH_OBLIGATIONS;SERIES_TO_IDENTIFY
MAROC_D11_ALL_SHARE;COUNTRY;MAROC;D11;INDICE_ACTIONS_ALL_SHARE;CASABLANCA_BOURSE;STOCK_EXCHANGE;CASABLANCA_MARKET;;;DAILY;INDEX_LEVEL;MAD;1;1;SOURCE_IDENTIFIED;;;PENDING;PRIMARY_MARKET_INDEX_ACTIONS|WTI_BENCH_ACTIONS;MASI_SERIES_TO_CONFIRM
MAROC_D12_FUNDS;COUNTRY;MAROC;D12;OPCVM_STATIC_NAV_AUM;AMMC;FUND_REGULATOR;AMMC_OFFICIAL;;;DAILY_EVENT_DRIVEN;MIXED;MAD;1;1;SOURCE_IDENTIFIED;;;VALIDATED;FUND_REFERENCE|WTI|RANKINGS;SERIES_AND_FILES_TO_IDENTIFY
GHANA_D03_GDP;COUNTRY;GHANA;D03;PIB_NOMINAL;GSS;STATISTICS_OFFICE;GSS_DATA;;;QUARTERLY_ANNUAL;CURRENCY;GHS;1;1;SOURCE_IDENTIFIED;;;VALIDATED;COUNTRY_OVERVIEW|RATIOS;OFFICIAL_ENDPOINT_VERIFIED
GHANA_D04_CPI;COUNTRY;GHANA;D04;INDICE_PRIX_CONSOMMATION;GSS;STATISTICS_OFFICE;GSS_DATA;;;MONTHLY;INDEX_LEVEL;;1;1;SOURCE_IDENTIFIED;;;VALIDATED;REAL_RETURN|REAL_RATE;OFFICIAL_ENDPOINT_VERIFIED
GHANA_D07_POLICY_RATE;COUNTRY;GHANA;D07;TAUX_DIRECTEUR;BOG;CENTRAL_BANK;BOG_OFFICIAL;;;EVENT_DRIVEN;PERCENT;;1;1;SOURCE_IDENTIFIED;;;VALIDATED;MONEY_MARKET_INDEX|WTI_BENCH_MONETAIRE;SERIES_TO_IDENTIFY
GHANA_D10_AUCTIONS;COUNTRY;GHANA;D10;ADJUDICATIONS_TITRES_PUBLICS;MOF_GHANA;GOVERNMENT_SECURITIES_AGENCY;MOF_GHANA_SECURITIES;;;WEEKLY;MIXED;GHS;1;1;SOURCE_IDENTIFIED;;;VALIDATED;YIELD_CURVE|FIXED_INCOME_INDICES;WEEKLY_AUCTION_DIRECTORY_VERIFIED
GHANA_D11_ALL_SHARE;COUNTRY;GHANA;D11;INDICE_ACTIONS_ALL_SHARE;GSE;STOCK_EXCHANGE;GSE_MARKET;;;DAILY;INDEX_LEVEL;GHS;1;1;SOURCE_IDENTIFIED;;;PENDING;PRIMARY_MARKET_INDEX_ACTIONS|WTI_BENCH_ACTIONS;SERIES_TO_IDENTIFY
GHANA_D12_FUNDS;COUNTRY;GHANA;D12;OPCVM_STATIC_NAV_AUM;SEC_GHANA;FUND_REGULATOR;SEC_GHANA_OFFICIAL;;;MONTHLY_EVENT_DRIVEN;MIXED;GHS;1;1;SOURCE_IDENTIFIED;;;VALIDATED;FUND_REFERENCE|WTI|RANKINGS;SERIES_AND_FILES_TO_IDENTIFY
NIGERIA_D03_GDP;COUNTRY;NIGERIA;D03;PIB_NOMINAL;NBS_NIGERIA;STATISTICS_OFFICE;NBS_NIGERIA_DATA;;;QUARTERLY_ANNUAL;CURRENCY;NGN;1;1;SOURCE_IDENTIFIED;;;PENDING;COUNTRY_OVERVIEW|RATIOS;ENDPOINT_TO_REVERIFY
NIGERIA_D04_CPI;COUNTRY;NIGERIA;D04;INDICE_PRIX_CONSOMMATION;NBS_NIGERIA;STATISTICS_OFFICE;NBS_NIGERIA_DATA;;;MONTHLY;INDEX_LEVEL;;1;1;SOURCE_IDENTIFIED;;;PENDING;REAL_RETURN|REAL_RATE;ENDPOINT_TO_REVERIFY
NIGERIA_D07_POLICY_RATE;COUNTRY;NIGERIA;D07;TAUX_DIRECTEUR;CBN;CENTRAL_BANK;CBN_OFFICIAL;;;EVENT_DRIVEN;PERCENT;;1;1;SOURCE_IDENTIFIED;;;VALIDATED;MONEY_MARKET_INDEX|WTI_BENCH_MONETAIRE;SERIES_TO_IDENTIFY
NIGERIA_D09_FX;COUNTRY;NIGERIA;D09;FX_NGN_EUR_USD;CBN;FX_REFERENCE_RATE_PROVIDER;CBN_OFFICIAL;;;DAILY;FX_RATE;NGN;1;1;SOURCE_IDENTIFIED;;;PENDING;LOCAL_EUR_USD_CONVERSION;SERIES_TO_IDENTIFY
NIGERIA_D10_DEBT;COUNTRY;NIGERIA;D10;TITRES_PUBLICS_ET_COURBE;DMO_NIGERIA;DEBT_MANAGEMENT_OFFICE;DMO_NIGERIA_DATA;;;WEEKLY_MONTHLY_EVENT_DRIVEN;MIXED;NGN;1;1;SOURCE_IDENTIFIED;;;PENDING;FIXED_INCOME_INDICES|WTI_BENCH_OBLIGATIONS;ENDPOINT_TO_REVERIFY
NIGERIA_D11_ALL_SHARE;COUNTRY;NIGERIA;D11;INDICE_ACTIONS_ALL_SHARE;NGX;STOCK_EXCHANGE;NGX_MARKET;;;DAILY;INDEX_LEVEL;NGN;1;1;SOURCE_IDENTIFIED;;;PENDING;PRIMARY_MARKET_INDEX_ACTIONS|WTI_BENCH_ACTIONS;NGX_ASI_SERIES_TO_CONFIRM
NIGERIA_D12_FUNDS;COUNTRY;NIGERIA;D12;OPCVM_STATIC_NAV_AUM;SEC_NIGERIA;FUND_REGULATOR;SEC_NIGERIA_OFFICIAL;;;WEEKLY_EVENT_DRIVEN;MIXED;NGN;1;1;SOURCE_IDENTIFIED;;;VALIDATED;FUND_REFERENCE|WTI|RANKINGS;SEC_WEEKLY_NAV_FILES_AND_REGISTER
TUNISIE_D03_GDP;COUNTRY;TUNISIE;D03;PIB_NOMINAL;INS_TUNISIE;STATISTICS_OFFICE;INS_TUNISIE_DATA;;;QUARTERLY_ANNUAL;CURRENCY;TND;1;1;SOURCE_IDENTIFIED;;;PENDING;COUNTRY_OVERVIEW|RATIOS;ENDPOINT_TO_REVERIFY
TUNISIE_D04_CPI;COUNTRY;TUNISIE;D04;INDICE_PRIX_CONSOMMATION;INS_TUNISIE;STATISTICS_OFFICE;INS_TUNISIE_DATA;;;MONTHLY;INDEX_LEVEL;;1;1;SOURCE_IDENTIFIED;;;PENDING;REAL_RETURN|REAL_RATE;ENDPOINT_TO_REVERIFY
TUNISIE_D07_POLICY_RATE;COUNTRY;TUNISIE;D07;TAUX_DIRECTEUR;BCT;CENTRAL_BANK;BCT_OFFICIAL;;;EVENT_DRIVEN;PERCENT;;1;1;SOURCE_IDENTIFIED;;;VALIDATED;MONEY_MARKET_INDEX|WTI_BENCH_MONETAIRE;SERIES_TO_IDENTIFY
TUNISIE_D09_FX;COUNTRY;TUNISIE;D09;FX_TND_EUR_USD;BCT;FX_REFERENCE_RATE_PROVIDER;BCT_OFFICIAL;;;DAILY;FX_RATE;TND;1;1;SOURCE_IDENTIFIED;;;PENDING;LOCAL_EUR_USD_CONVERSION;SERIES_TO_IDENTIFY
TUNISIE_D10_YIELD_CURVE;COUNTRY;TUNISIE;D10;COURBE_TAUX_SOUVERAINE;CMF_TUNISIE;CAPITAL_MARKET_REGULATOR;CMF_TUNISIE_OFFICIAL;;;DAILY;PERCENT;TND;1;1;SOURCE_IDENTIFIED;;;VALIDATED;FIXED_INCOME_MARKET_INDEX|WTI_BENCH_OBLIGATIONS;CMF_CURVE_SOURCE_IDENTIFIED
TUNISIE_D11_ALL_SHARE;COUNTRY;TUNISIE;D11;INDICE_ACTIONS_ALL_SHARE;BVMT;STOCK_EXCHANGE;BVMT_MARKET;;;DAILY;INDEX_LEVEL;TND;1;1;SOURCE_IDENTIFIED;;;PENDING;PRIMARY_MARKET_INDEX_ACTIONS|WTI_BENCH_ACTIONS;TUNINDEX_SERIES_TO_CONFIRM
TUNISIE_D12_FUNDS;COUNTRY;TUNISIE;D12;OPCVM_STATIC_NAV_AUM;CMF_TUNISIE;FUND_REGULATOR;CMF_TUNISIE_OFFICIAL;;;DAILY_EVENT_DRIVEN;MIXED;TND;1;1;SOURCE_IDENTIFIED;;;VALIDATED;FUND_REFERENCE|WTI|RANKINGS;CMF_NAV_PROSPECTUS_COMMUNIQUES
EGYPTE_D03_GDP;COUNTRY;EGYPTE;D03;PIB_NOMINAL;CAPMAS;STATISTICS_OFFICE;CAPMAS_DATA;;;QUARTERLY_ANNUAL;CURRENCY;EGP;1;1;SOURCE_IDENTIFIED;;;PENDING;COUNTRY_OVERVIEW|RATIOS;ENDPOINT_TO_REVERIFY
EGYPTE_D04_CPI;COUNTRY;EGYPTE;D04;INDICE_PRIX_CONSOMMATION;CAPMAS;STATISTICS_OFFICE;CAPMAS_DATA;;;MONTHLY;INDEX_LEVEL;;1;1;SOURCE_IDENTIFIED;;;PENDING;REAL_RETURN|REAL_RATE;ENDPOINT_TO_REVERIFY
EGYPTE_D07_POLICY_RATE;COUNTRY;EGYPTE;D07;TAUX_DIRECTEUR;CBE;CENTRAL_BANK;CBE_OFFICIAL;;;EVENT_DRIVEN;PERCENT;;1;1;SOURCE_IDENTIFIED;;;VALIDATED;MONEY_MARKET_INDEX|WTI_BENCH_MONETAIRE;SERIES_TO_IDENTIFY
EGYPTE_D09_FX;COUNTRY;EGYPTE;D09;FX_EGP_EUR_USD;CBE;FX_REFERENCE_RATE_PROVIDER;CBE_OFFICIAL;;;DAILY;FX_RATE;EGP;1;1;SOURCE_IDENTIFIED;;;PENDING;LOCAL_EUR_USD_CONVERSION;SERIES_TO_IDENTIFY
EGYPTE_D11_ALL_SHARE;COUNTRY;EGYPTE;D11;INDICE_ACTIONS_ALL_SHARE;EGX;STOCK_EXCHANGE;EGX_MARKET;;;DAILY;INDEX_LEVEL;EGP;1;1;SOURCE_IDENTIFIED;;;PENDING;PRIMARY_MARKET_INDEX_ACTIONS|WTI_BENCH_ACTIONS;EGX_BROAD_INDEX_TO_CONFIRM
EGYPTE_D12_FUNDS;COUNTRY;EGYPTE;D12;OPCVM_STATIC_NAV_AUM;FRA_EGYPT;FUND_REGULATOR;FRA_EGYPT_OFFICIAL;;;MONTHLY_EVENT_DRIVEN;MIXED;EGP;1;1;SOURCE_IDENTIFIED;;;PENDING;FUND_REFERENCE|WTI|RANKINGS;REGULATORY_SCOPE_AND_SERIES_TO_VERIFY
KENYA_D03_GDP;COUNTRY;KENYA;D03;PIB_NOMINAL;KNBS;STATISTICS_OFFICE;KNBS_DATA;;;QUARTERLY_ANNUAL;CURRENCY;KES;1;1;SOURCE_IDENTIFIED;;;PENDING;COUNTRY_OVERVIEW|RATIOS;ENDPOINT_TO_REVERIFY
KENYA_D04_CPI;COUNTRY;KENYA;D04;INDICE_PRIX_CONSOMMATION;KNBS;STATISTICS_OFFICE;KNBS_DATA;;;MONTHLY;INDEX_LEVEL;;1;1;SOURCE_IDENTIFIED;;;PENDING;REAL_RETURN|REAL_RATE;ENDPOINT_TO_REVERIFY
KENYA_D07_POLICY_RATE;COUNTRY;KENYA;D07;TAUX_DIRECTEUR;CBK;CENTRAL_BANK;CBK_OFFICIAL;;;EVENT_DRIVEN;PERCENT;;1;1;SOURCE_IDENTIFIED;;;PENDING;MONEY_MARKET_INDEX|WTI_BENCH_MONETAIRE;SERIES_TO_IDENTIFY
KENYA_D09_FX;COUNTRY;KENYA;D09;FX_KES_EUR_USD;CBK;FX_REFERENCE_RATE_PROVIDER;CBK_OFFICIAL;;;DAILY;FX_RATE;KES;1;1;SOURCE_IDENTIFIED;;;PENDING;LOCAL_EUR_USD_CONVERSION;SERIES_TO_IDENTIFY
KENYA_D10_DEBT;COUNTRY;KENYA;D10;TITRES_PUBLICS_ET_COURBE;NATIONAL_TREASURY_KENYA;TREASURY;NATIONAL_TREASURY_KENYA_DATA;;;WEEKLY_MONTHLY_EVENT_DRIVEN;MIXED;KES;1;1;SOURCE_IDENTIFIED;;;PENDING;FIXED_INCOME_INDICES|WTI_BENCH_OBLIGATIONS;ENDPOINT_TO_REVERIFY
KENYA_D11_ALL_SHARE;COUNTRY;KENYA;D11;INDICE_ACTIONS_ALL_SHARE;NSE;STOCK_EXCHANGE;NSE_MARKET;;;DAILY;INDEX_LEVEL;KES;1;1;SOURCE_IDENTIFIED;;;PENDING;PRIMARY_MARKET_INDEX_ACTIONS|WTI_BENCH_ACTIONS;NSE_ALL_SHARE_SERIES_TO_CONFIRM
KENYA_D12_FUNDS;COUNTRY;KENYA;D12;OPCVM_STATIC_NAV_AUM;CMA_KENYA;FUND_REGULATOR;CMA_KENYA_OFFICIAL;;;MONTHLY_EVENT_DRIVEN;MIXED;KES;1;1;SOURCE_IDENTIFIED;;;PENDING;FUND_REFERENCE|WTI|RANKINGS;REGULATORY_SCOPE_AND_SERIES_TO_VERIFY
