FX_PAIR_CODE;SOURCE_CURRENCY_CODE;TARGET_CURRENCY_CODE;QUOTE_CONVENTION;PAIR_ROLE;DIRECT_SOURCE_REQUIRED;TRIANGULATION_ALLOWED;TRIANGULATION_CURRENCY_CODE;FREQUENCY_TARGET;VALIDATION_STATUS;SOURCE_NOTE
CDF_EUR;CDF;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
CDF_USD;CDF;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
KMF_EUR;KMF;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
KMF_USD;KMF;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
CVE_EUR;CVE;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
CVE_USD;CVE;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
DJF_EUR;DJF;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
DJF_USD;DJF;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
DZD_EUR;DZD;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
DZD_USD;DZD;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
EGP_EUR;EGP;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
EGP_USD;EGP;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
ERN_EUR;ERN;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
ERN_USD;ERN;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
ETB_EUR;ETB;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
ETB_USD;ETB;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
GHS_EUR;GHS;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
GHS_USD;GHS;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
GNF_EUR;GNF;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
GNF_USD;GNF;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
GMD_EUR;GMD;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
GMD_USD;GMD;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
KES_EUR;KES;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
KES_USD;KES;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
LRD_EUR;LRD;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
LRD_USD;LRD;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
LYD_EUR;LYD;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
LYD_USD;LYD;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
LSL_EUR;LSL;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
LSL_USD;LSL;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
MAD_EUR;MAD;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
MAD_USD;MAD;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
MGA_EUR;MGA;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
MGA_USD;MGA;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
MZN_EUR;MZN;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
MZN_USD;MZN;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
MRU_EUR;MRU;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
MRU_USD;MRU;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
MUR_EUR;MUR;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
MUR_USD;MUR;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
MWK_EUR;MWK;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
MWK_USD;MWK;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
NAD_EUR;NAD;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
NAD_USD;NAD;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
NGN_EUR;NGN;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
NGN_USD;NGN;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
RWF_EUR;RWF;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
RWF_USD;RWF;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
SDG_EUR;SDG;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
SDG_USD;SDG;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
SLE_EUR;SLE;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
SLE_USD;SLE;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
SOS_EUR;SOS;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
SOS_USD;SOS;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
SSP_EUR;SSP;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
SSP_USD;SSP;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
STN_EUR;STN;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
STN_USD;STN;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
SZL_EUR;SZL;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
SZL_USD;SZL;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
SCR_EUR;SCR;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
SCR_USD;SCR;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
TND_EUR;TND;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
TND_USD;TND;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
TZS_EUR;TZS;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
TZS_USD;TZS;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
UGX_EUR;UGX;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
UGX_USD;UGX;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
ZAR_EUR;ZAR;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
ZAR_USD;ZAR;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
ZMW_EUR;ZMW;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
ZMW_USD;ZMW;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
ZWG_EUR;ZWG;EUR;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
ZWG_USD;ZWG;USD;ONE_SOURCE_EQUALS_X_TARGET;LOCAL_TO_REPORTING;0;1;;DAILY;PENDING;PAIR_REQUIRED_FOR_CANONICAL_LOCAL_EUR_USD_SERIES
