ENDPOINT_CODE;ORGANIZATION_CODE;SCOPE_TYPE;SCOPE_CODE;ENDPOINT_TYPE;OFFICIAL_URL;DATA_PORTAL_URL;API_BASE_URL;ACCESS_METHOD;AUTH_REQUIRED;FILE_FORMATS;EXPECTED_FREQUENCY;HISTORY_START;LAST_VERIFIED_AT;VALIDATION_STATUS;SOURCE_NOTE
AMMC_OFFICIAL;AMMC;COUNTRY;MAROC;OFFICIAL_WEBSITE;https://www.ammc.ma/;;;PUBLIC_WEB;0;HTML,PDF,XLSX;EVENT_DRIVEN_DAILY;;;VALIDATED;OFFICIAL_WEBSITE_VERIFIED_2026_08_03
CASABLANCA_MARKET;CASABLANCA_BOURSE;COUNTRY;MAROC;DATA_PORTAL;https://www.casablanca-bourse.com/;;;PUBLIC_WEB;0;HTML,PDF,CSV,XLSX;DAILY;;;VALIDATED;OFFICIAL_WEBSITE_VERIFIED_2026_08_03
HCP_MAROC_DATA;HCP_MAROC;COUNTRY;MAROC;DATA_PORTAL;https://www.hcp.ma/;;;PUBLIC_WEB;0;HTML,PDF,XLSX,CSV;MONTHLY_QUARTERLY_ANNUAL;;;VALIDATED;OFFICIAL_WEBSITE_VERIFIED_2026_08_03
MEF_MAROC_DATA;MEF_MAROC;COUNTRY;MAROC;OFFICIAL_WEBSITE;https://www.finances.gov.ma/;;;PUBLIC_WEB;0;HTML,PDF,XLSX;MONTHLY_ANNUAL;;;VALIDATED;OFFICIAL_WEBSITE_VERIFIED_2026_08_03
TGR_MAROC_DATA;TGR_MAROC;COUNTRY;MAROC;DATA_PORTAL;https://www.tgr.gov.ma/;;;PUBLIC_WEB;0;HTML,PDF,XLSX;MONTHLY_EVENT_DRIVEN;;;VALIDATED;OFFICIAL_WEBSITE_VERIFIED_2026_08_03
BOG_OFFICIAL;BOG;COUNTRY;GHANA;OFFICIAL_WEBSITE;https://www.bog.gov.gh/;;;PUBLIC_WEB;0;HTML,PDF,XLSX,CSV;DAILY_MONTHLY;;;VALIDATED;OFFICIAL_WEBSITE_VERIFIED_2026_08_03
SEC_GHANA_OFFICIAL;SEC_GHANA;COUNTRY;GHANA;OFFICIAL_WEBSITE;https://sec.gov.gh/;;;PUBLIC_WEB;0;HTML,PDF,XLSX;EVENT_DRIVEN_MONTHLY;;;VALIDATED;OFFICIAL_WEBSITE_VERIFIED_2026_08_03
GSE_MARKET;GSE;COUNTRY;GHANA;DATA_PORTAL;https://gse.com.gh/;;;PUBLIC_WEB;0;HTML,PDF,CSV;DAILY;;;PENDING;DOMAIN_TO_REVERIFY
GSS_DATA;GSS;COUNTRY;GHANA;DATA_PORTAL;https://www.statsghana.gov.gh/;;;PUBLIC_WEB;0;HTML,PDF,XLSX,CSV;MONTHLY_QUARTERLY_ANNUAL;;;VALIDATED;OFFICIAL_WEBSITE_VERIFIED_2026_08_03
MOF_GHANA_SECURITIES;MOF_GHANA;COUNTRY;GHANA;FILE_DIRECTORY;https://mofep.gov.gh/investor-relations/securities;;;PUBLIC_WEB;0;HTML,PDF,XLSX;WEEKLY;;;VALIDATED;WEEKLY_AUCTION_DIRECTORY_VERIFIED_2026_08_03
CBN_OFFICIAL;CBN;COUNTRY;NIGERIA;OFFICIAL_WEBSITE;https://www.cbn.gov.ng/;;;PUBLIC_WEB;0;HTML,PDF,XLSX,CSV;DAILY_MONTHLY_EVENT_DRIVEN;;;VALIDATED;OFFICIAL_WEBSITE_VERIFIED_2026_08_03
SEC_NIGERIA_OFFICIAL;SEC_NIGERIA;COUNTRY;NIGERIA;OFFICIAL_WEBSITE;https://www.sec.gov.ng/;;;PUBLIC_WEB;0;HTML,PDF,XLSX;WEEKLY_EVENT_DRIVEN;;;VALIDATED;OFFICIAL_WEBSITE_VERIFIED_2026_08_03
NGX_MARKET;NGX;COUNTRY;NIGERIA;DATA_PORTAL;https://ngxgroup.com/exchange/;;;PUBLIC_WEB;0;HTML,PDF,CSV;DAILY;;;PENDING;DOMAIN_TO_REVERIFY
DMO_NIGERIA_DATA;DMO_NIGERIA;COUNTRY;NIGERIA;DATA_PORTAL;https://www.dmo.gov.ng/;;;PUBLIC_WEB;0;HTML,PDF,XLSX;WEEKLY_MONTHLY_EVENT_DRIVEN;;;PENDING;DOMAIN_TO_REVERIFY
NBS_NIGERIA_DATA;NBS_NIGERIA;COUNTRY;NIGERIA;DATA_PORTAL;https://www.nigerianstat.gov.ng/;;;PUBLIC_WEB;0;HTML,PDF,XLSX,CSV;MONTHLY_QUARTERLY_ANNUAL;;;PENDING;DOMAIN_TO_REVERIFY
BCT_OFFICIAL;BCT;COUNTRY;TUNISIE;OFFICIAL_WEBSITE;https://www.bct.gov.tn/bct/siteprod/index.jsp;;;PUBLIC_WEB;0;HTML,PDF,XLSX,CSV;DAILY_MONTHLY;;;VALIDATED;OFFICIAL_WEBSITE_VERIFIED_2026_08_03
CMF_TUNISIE_OFFICIAL;CMF_TUNISIE;COUNTRY;TUNISIE;OFFICIAL_WEBSITE;https://www.cmf.tn/;;;PUBLIC_WEB;0;HTML,PDF,XLSX;DAILY_EVENT_DRIVEN;;;VALIDATED;OFFICIAL_WEBSITE_VERIFIED_2026_08_03
BVMT_MARKET;BVMT;COUNTRY;TUNISIE;DATA_PORTAL;https://www.bvmt.com.tn/;;;PUBLIC_WEB;0;HTML,PDF,CSV,XLSX;DAILY;;;VALIDATED;OFFICIAL_WEBSITE_VERIFIED_2026_08_03
INS_TUNISIE_DATA;INS_TUNISIE;COUNTRY;TUNISIE;DATA_PORTAL;https://www.ins.tn/;;;PUBLIC_WEB;0;HTML,PDF,XLSX,CSV;MONTHLY_QUARTERLY_ANNUAL;;;PENDING;DOMAIN_TO_REVERIFY
MF_TUNISIE_DATA;MF_TUNISIE;COUNTRY;TUNISIE;OFFICIAL_WEBSITE;http://www.finances.gov.tn/;;;PUBLIC_WEB;0;HTML,PDF,XLSX;MONTHLY_ANNUAL;;;VALIDATED;OFFICIAL_WEBSITE_VERIFIED_2026_08_03
CBE_OFFICIAL;CBE;COUNTRY;EGYPTE;OFFICIAL_WEBSITE;https://www.cbe.org.eg/en/;;;PUBLIC_WEB;0;HTML,PDF,XLSX,CSV;DAILY_MONTHLY_EVENT_DRIVEN;;;VALIDATED;OFFICIAL_WEBSITE_VERIFIED_2026_08_03
FRA_EGYPT_OFFICIAL;FRA_EGYPT;COUNTRY;EGYPTE;OFFICIAL_WEBSITE;https://fra.gov.eg/en/;;;PUBLIC_WEB;0;HTML,PDF,XLSX;EVENT_DRIVEN_MONTHLY;;;VALIDATED;OFFICIAL_WEBSITE_VERIFIED_2026_08_03
EGX_MARKET;EGX;COUNTRY;EGYPTE;DATA_PORTAL;https://www.egx.com.eg/;;;PUBLIC_WEB;0;HTML,PDF,CSV;DAILY;;;PENDING;DOMAIN_TO_REVERIFY
CAPMAS_DATA;CAPMAS;COUNTRY;EGYPTE;DATA_PORTAL;https://www.capmas.gov.eg/;;;PUBLIC_WEB;0;HTML,PDF,XLSX,CSV;MONTHLY_QUARTERLY_ANNUAL;;;PENDING;DOMAIN_TO_REVERIFY
MOF_EGYPT_DATA;MOF_EGYPT;COUNTRY;EGYPTE;OFFICIAL_WEBSITE;https://mof.gov.eg/;;;PUBLIC_WEB;0;HTML,PDF,XLSX;MONTHLY_ANNUAL;;;PENDING;DOMAIN_TO_REVERIFY
CBK_OFFICIAL;CBK;COUNTRY;KENYA;OFFICIAL_WEBSITE;https://www.centralbank.go.ke/;;;PUBLIC_WEB;0;HTML,PDF,XLSX,CSV;DAILY_MONTHLY_EVENT_DRIVEN;;;PENDING;DOMAIN_TO_REVERIFY
CMA_KENYA_OFFICIAL;CMA_KENYA;COUNTRY;KENYA;OFFICIAL_WEBSITE;https://www.cma.or.ke/;;;PUBLIC_WEB;0;HTML,PDF,XLSX;EVENT_DRIVEN_MONTHLY;;;VALIDATED;OFFICIAL_WEBSITE_VERIFIED_2026_08_03
NSE_MARKET;NSE;COUNTRY;KENYA;DATA_PORTAL;https://www.nse.co.ke/;;;PUBLIC_WEB;0;HTML,PDF,CSV;DAILY;;;VALIDATED;OFFICIAL_WEBSITE_VERIFIED_2026_08_03
KNBS_DATA;KNBS;COUNTRY;KENYA;DATA_PORTAL;https://www.knbs.or.ke/;;;PUBLIC_WEB;0;HTML,PDF,XLSX,CSV;MONTHLY_QUARTERLY_ANNUAL;;;PENDING;DOMAIN_TO_REVERIFY
NATIONAL_TREASURY_KENYA_DATA;NATIONAL_TREASURY_KENYA;COUNTRY;KENYA;DATA_PORTAL;https://www.treasury.go.ke/;;;PUBLIC_WEB;0;HTML,PDF,XLSX;WEEKLY_MONTHLY_ANNUAL;;;PENDING;DOMAIN_TO_REVERIFY
