PROVIDER_SERIES_ID;MAPPING_CODE;ORGANIZATION_CODE;ENDPOINT_CODE;CANONICAL_INDICATOR_CODE;PROVIDER_SERIES_CODE;PROVIDER_SERIES_NAME;PROVIDER_SERIES_URL;NATIVE_FREQUENCY;NATIVE_UNIT;NATIVE_CURRENCY;DATE_START;DATE_END;PUBLICATION_LAG_DAYS;REVISION_POLICY;HISTORY_STATUS;VALIDATION_STATUS;SOURCE_NOTE
PS_MAROC_FX;MAROC_D09_FX;BAM;BAM_OFFICIAL;FX_MAD_EUR_USD;;;;DAILY;FX_RATE;MAD;;;;REVISION_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;DIRECT_PAIRS_TO_IDENTIFY
PS_MAROC_COURBE;MAROC_D10_YIELD_CURVE;BAM;BAM_OFFICIAL;COURBE_TAUX_SOUVERAINE;;;;DAILY;PERCENT;MAD;;;;REVISION_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;TENORS_AND_FILES_TO_IDENTIFY
PS_MAROC_ACTIONS_ALL_SHARE;MAROC_D11_ALL_SHARE;CASABLANCA_BOURSE;CASABLANCA_MARKET;INDICE_ACTIONS_ALL_SHARE;;;;DAILY;INDEX_LEVEL;MAD;;;;CORRECTIONS_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;MASI_CODE_AND_HISTORY_TO_CONFIRM
PS_MAROC_OPCVM;MAROC_D12_FUNDS;AMMC;AMMC_OFFICIAL;OPCVM_STATIC_NAV_AUM;;;;DAILY_EVENT_DRIVEN;MIXED;MAD;;;;REVISION_AND_EVENT_POLICY_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;FILES_AND_SERIES_TO_IDENTIFY
PS_GHANA_PIB;GHANA_D03_GDP;GSS;GSS_DATA;PIB_NOMINAL;;;;QUARTERLY_ANNUAL;CURRENCY;GHS;;;;REVISION_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;TABLE_OR_SERIES_TO_IDENTIFY
PS_GHANA_IPC;GHANA_D04_CPI;GSS;GSS_DATA;INDICE_PRIX_CONSOMMATION;;;;MONTHLY;INDEX_LEVEL;;;;;BASE_AND_REVISION_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;TABLE_OR_SERIES_TO_IDENTIFY
PS_GHANA_TAUX_DIRECTEUR;GHANA_D07_POLICY_RATE;BOG;BOG_OFFICIAL;TAUX_DIRECTEUR;;;;EVENT_DRIVEN;PERCENT;;;;;EVENT_HISTORY_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;DECISION_SERIES_TO_IDENTIFY
PS_GHANA_ADJUDICATIONS;GHANA_D10_AUCTIONS;MOF_GHANA;MOF_GHANA_SECURITIES;ADJUDICATIONS_TITRES_PUBLICS;;;;WEEKLY;MIXED;GHS;;;;CORRECTIONS_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;FILE_PATTERN_AND_COLUMNS_TO_IDENTIFY
PS_GHANA_ACTIONS_ALL_SHARE;GHANA_D11_ALL_SHARE;GSE;GSE_MARKET;INDICE_ACTIONS_ALL_SHARE;;;;DAILY;INDEX_LEVEL;GHS;;;;CORRECTIONS_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;OFFICIAL_INDEX_CODE_TO_CONFIRM
PS_GHANA_OPCVM;GHANA_D12_FUNDS;SEC_GHANA;SEC_GHANA_OFFICIAL;OPCVM_STATIC_NAV_AUM;;;;MONTHLY_EVENT_DRIVEN;MIXED;GHS;;;;REVISION_AND_EVENT_POLICY_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;FILES_AND_SERIES_TO_IDENTIFY
PS_NIGERIA_PIB;NIGERIA_D03_GDP;NBS_NIGERIA;NBS_NIGERIA_DATA;PIB_NOMINAL;;;;QUARTERLY_ANNUAL;CURRENCY;NGN;;;;REVISION_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;ENDPOINT_TO_REVERIFY
PS_NIGERIA_IPC;NIGERIA_D04_CPI;NBS_NIGERIA;NBS_NIGERIA_DATA;INDICE_PRIX_CONSOMMATION;;;;MONTHLY;INDEX_LEVEL;;;;;BASE_AND_REVISION_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;ENDPOINT_TO_REVERIFY
PS_NIGERIA_TAUX_DIRECTEUR;NIGERIA_D07_POLICY_RATE;CBN;CBN_OFFICIAL;TAUX_DIRECTEUR;;;;EVENT_DRIVEN;PERCENT;;;;;EVENT_HISTORY_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;DECISION_SERIES_TO_IDENTIFY
PS_NIGERIA_FX;NIGERIA_D09_FX;CBN;CBN_OFFICIAL;FX_NGN_EUR_USD;;;;DAILY;FX_RATE;NGN;;;;REVISION_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;DIRECT_PAIRS_TO_IDENTIFY
PS_NIGERIA_DETTE;NIGERIA_D10_DEBT;DMO_NIGERIA;DMO_NIGERIA_DATA;TITRES_PUBLICS_ET_COURBE;;;;WEEKLY_MONTHLY_EVENT_DRIVEN;MIXED;NGN;;;;CORRECTIONS_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;ENDPOINT_AND_FILE_PATTERN_TO_REVERIFY
PS_NIGERIA_ACTIONS_ALL_SHARE;NIGERIA_D11_ALL_SHARE;NGX;NGX_MARKET;INDICE_ACTIONS_ALL_SHARE;;;;DAILY;INDEX_LEVEL;NGN;;;;CORRECTIONS_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;NGX_ASI_CODE_AND_HISTORY_TO_CONFIRM
PS_NIGERIA_OPCVM;NIGERIA_D12_FUNDS;SEC_NIGERIA;SEC_NIGERIA_OFFICIAL;OPCVM_STATIC_NAV_AUM;;;;WEEKLY_EVENT_DRIVEN;MIXED;NGN;;;;REVISION_AND_EVENT_POLICY_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;SEC_WEEKLY_NAV_FILES_AND_REGISTER
PS_TUNISIE_PIB;TUNISIE_D03_GDP;INS_TUNISIE;INS_TUNISIE_DATA;PIB_NOMINAL;;;;QUARTERLY_ANNUAL;CURRENCY;TND;;;;REVISION_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;ENDPOINT_TO_REVERIFY
PS_TUNISIE_IPC;TUNISIE_D04_CPI;INS_TUNISIE;INS_TUNISIE_DATA;INDICE_PRIX_CONSOMMATION;;;;MONTHLY;INDEX_LEVEL;;;;;BASE_AND_REVISION_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;ENDPOINT_TO_REVERIFY
PS_TUNISIE_TAUX_DIRECTEUR;TUNISIE_D07_POLICY_RATE;BCT;BCT_OFFICIAL;TAUX_DIRECTEUR;;;;EVENT_DRIVEN;PERCENT;;;;;EVENT_HISTORY_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;DECISION_SERIES_TO_IDENTIFY
PS_TUNISIE_FX;TUNISIE_D09_FX;BCT;BCT_OFFICIAL;FX_TND_EUR_USD;;;;DAILY;FX_RATE;TND;;;;REVISION_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;DIRECT_PAIRS_TO_IDENTIFY
PS_TUNISIE_COURBE;TUNISIE_D10_YIELD_CURVE;CMF_TUNISIE;CMF_TUNISIE_OFFICIAL;COURBE_TAUX_SOUVERAINE;;;;DAILY;PERCENT;TND;;;;CORRECTIONS_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;CMF_CURVE_FILES_TO_SPECIFY
PS_TUNISIE_ACTIONS_ALL_SHARE;TUNISIE_D11_ALL_SHARE;BVMT;BVMT_MARKET;INDICE_ACTIONS_ALL_SHARE;;;;DAILY;INDEX_LEVEL;TND;;;;CORRECTIONS_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;TUNINDEX_CODE_AND_HISTORY_TO_CONFIRM
PS_TUNISIE_OPCVM;TUNISIE_D12_FUNDS;CMF_TUNISIE;CMF_TUNISIE_OFFICIAL;OPCVM_STATIC_NAV_AUM;;;;DAILY_EVENT_DRIVEN;MIXED;TND;;;;REVISION_AND_EVENT_POLICY_TO_VERIFY;PARTIAL_HISTORY_LOADED;PENDING;CMF_NAV_PROSPECTUS_COMMUNIQUES
PS_EGYPTE_PIB;EGYPTE_D03_GDP;CAPMAS;CAPMAS_DATA;PIB_NOMINAL;;;;QUARTERLY_ANNUAL;CURRENCY;EGP;;;;REVISION_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;ENDPOINT_TO_REVERIFY
PS_EGYPTE_IPC;EGYPTE_D04_CPI;CAPMAS;CAPMAS_DATA;INDICE_PRIX_CONSOMMATION;;;;MONTHLY;INDEX_LEVEL;;;;;BASE_AND_REVISION_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;ENDPOINT_TO_REVERIFY
PS_EGYPTE_TAUX_DIRECTEUR;EGYPTE_D07_POLICY_RATE;CBE;CBE_OFFICIAL;TAUX_DIRECTEUR;;;;EVENT_DRIVEN;PERCENT;;;;;EVENT_HISTORY_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;DECISION_SERIES_TO_IDENTIFY
PS_EGYPTE_FX;EGYPTE_D09_FX;CBE;CBE_OFFICIAL;FX_EGP_EUR_USD;;;;DAILY;FX_RATE;EGP;;;;REVISION_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;DIRECT_PAIRS_TO_IDENTIFY
PS_EGYPTE_ACTIONS_ALL_SHARE;EGYPTE_D11_ALL_SHARE;EGX;EGX_MARKET;INDICE_ACTIONS_ALL_SHARE;;;;DAILY;INDEX_LEVEL;EGP;;;;CORRECTIONS_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;BROAD_INDEX_CODE_TO_CONFIRM
PS_EGYPTE_OPCVM;EGYPTE_D12_FUNDS;FRA_EGYPT;FRA_EGYPT_OFFICIAL;OPCVM_STATIC_NAV_AUM;;;;MONTHLY_EVENT_DRIVEN;MIXED;EGP;;;;REVISION_AND_EVENT_POLICY_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;REGULATORY_SCOPE_AND_FILES_TO_VERIFY
PS_KENYA_PIB;KENYA_D03_GDP;KNBS;KNBS_DATA;PIB_NOMINAL;;;;QUARTERLY_ANNUAL;CURRENCY;KES;;;;REVISION_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;ENDPOINT_TO_REVERIFY
PS_KENYA_IPC;KENYA_D04_CPI;KNBS;KNBS_DATA;INDICE_PRIX_CONSOMMATION;;;;MONTHLY;INDEX_LEVEL;;;;;BASE_AND_REVISION_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;ENDPOINT_TO_REVERIFY
PS_KENYA_TAUX_DIRECTEUR;KENYA_D07_POLICY_RATE;CBK;CBK_OFFICIAL;TAUX_DIRECTEUR;;;;EVENT_DRIVEN;PERCENT;;;;;EVENT_HISTORY_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;DECISION_SERIES_TO_IDENTIFY
PS_KENYA_FX;KENYA_D09_FX;CBK;CBK_OFFICIAL;FX_KES_EUR_USD;;;;DAILY;FX_RATE;KES;;;;REVISION_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;DIRECT_PAIRS_TO_IDENTIFY
PS_KENYA_DETTE;KENYA_D10_DEBT;NATIONAL_TREASURY_KENYA;NATIONAL_TREASURY_KENYA_DATA;TITRES_PUBLICS_ET_COURBE;;;;WEEKLY_MONTHLY_EVENT_DRIVEN;MIXED;KES;;;;CORRECTIONS_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;FILES_AND_CURVE_DATA_TO_IDENTIFY
PS_KENYA_ACTIONS_ALL_SHARE;KENYA_D11_ALL_SHARE;NSE;NSE_MARKET;INDICE_ACTIONS_ALL_SHARE;;;;DAILY;INDEX_LEVEL;KES;;;;CORRECTIONS_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;NSE_ALL_SHARE_CODE_AND_HISTORY_TO_CONFIRM
PS_KENYA_OPCVM;KENYA_D12_FUNDS;CMA_KENYA;CMA_KENYA_OFFICIAL;OPCVM_STATIC_NAV_AUM;;;;MONTHLY_EVENT_DRIVEN;MIXED;KES;;;;REVISION_AND_EVENT_POLICY_TO_VERIFY;SOURCE_IDENTIFIED;PENDING;FILES_AND_SERIES_TO_IDENTIFY
