ISO3;Pays;Domaine ID;Statut actuel;Prochaine action
GAB;Gabon;D10;Partiel intégré;Identifier puis tester la source officielle
GAB;Gabon;D17;Partiel intégré;Identifier puis tester la source officielle
GHA;Ghana;D07;Partiel intégré;Identifier puis tester la source officielle
GHA;Ghana;D10;Partiel intégré;Identifier puis tester la source officielle
GHA;Ghana;D17;Partiel intégré;Identifier puis tester la source officielle
GNB;Guinée-Bissau;D07;Partiel intégré;Identifier puis tester la source officielle
GNB;Guinée-Bissau;D10;Partiel intégré;Identifier puis tester la source officielle
GNB;Guinée-Bissau;D17;Partiel intégré;Identifier puis tester la source officielle
KEN;Kenya;D07;Partiel intégré;Identifier puis tester la source officielle
KEN;Kenya;D10;Partiel intégré;Identifier puis tester la source officielle
KEN;Kenya;D17;Partiel intégré;Identifier puis tester la source officielle
MLI;Mali;D07;Partiel intégré;Identifier puis tester la source officielle
MLI;Mali;D10;Partiel intégré;Identifier puis tester la source officielle
MLI;Mali;D17;Partiel intégré;Identifier puis tester la source officielle
MUS;Maurice;D07;Partiel intégré;Identifier puis tester la source officielle
MUS;Maurice;D10;Partiel intégré;Identifier puis tester la source officielle
MUS;Maurice;D17;Partiel intégré;Identifier puis tester la source officielle
MAR;Maroc;D07;Partiel intégré;Identifier puis tester la source officielle
MAR;Maroc;D17;Partiel intégré;Identifier puis tester la source officielle
MOZ;Mozambique;D07;Partiel intégré;Identifier puis tester la source officielle
MOZ;Mozambique;D17;Partiel intégré;Identifier puis tester la source officielle
NAM;Namibie;D07;Source reliée;Identifier puis tester la source officielle
NAM;Namibie;D10;Source reliée;Identifier puis tester la source officielle
NER;Niger;D07;Partiel intégré;Identifier puis tester la source officielle
NER;Niger;D10;Partiel intégré;Identifier puis tester la source officielle
NER;Niger;D17;Partiel intégré;Identifier puis tester la source officielle
NGA;Nigeria;D07;Partiel intégré;Identifier puis tester la source officielle
NGA;Nigeria;D10;Partiel intégré;Identifier puis tester la source officielle
NGA;Nigeria;D17;Partiel intégré;Identifier puis tester la source officielle
RWA;Rwanda;D07;Source reliée;Identifier puis tester la source officielle
RWA;Rwanda;D10;Source reliée;Identifier puis tester la source officielle
SEN;Sénégal;D07;Partiel intégré;Identifier puis tester la source officielle
SEN;Sénégal;D10;Partiel intégré;Identifier puis tester la source officielle
SEN;Sénégal;D17;Partiel intégré;Identifier puis tester la source officielle
ZAF;Afrique du Sud;D07;Source reliée;Identifier puis tester la source officielle
ZAF;Afrique du Sud;D10;Source reliée;Identifier puis tester la source officielle
TZA;Tanzanie;D07;Source reliée;Identifier puis tester la source officielle
TZA;Tanzanie;D10;Source reliée;Identifier puis tester la source officielle
TGO;Togo;D07;Partiel intégré;Identifier puis tester la source officielle
TGO;Togo;D10;Partiel intégré;Identifier puis tester la source officielle
TGO;Togo;D17;Partiel intégré;Identifier puis tester la source officielle
TUN;Tunisie;D02;Source reliée;Identifier puis tester la source officielle
TUN;Tunisie;D03;Source reliée;Identifier puis tester la source officielle
TUN;Tunisie;D04;Prototype chargé;Identifier puis tester la source officielle
TUN;Tunisie;D07;Source reliée;Identifier puis tester la source officielle
TUN;Tunisie;D09;Prototype chargé;Identifier puis tester la source officielle
TUN;Tunisie;D10;Source reliée;Identifier puis tester la source officielle
TUN;Tunisie;D11;Source reliée;Identifier puis tester la source officielle
TUN;Tunisie;D12;Prototype chargé;Identifier puis tester la source officielle
TUN;Tunisie;D17;Prototype chargé;Identifier puis tester la source officielle
UGA;Ouganda;D07;Source reliée;Identifier puis tester la source officielle
UGA;Ouganda;D10;Source reliée;Identifier puis tester la source officielle
ZMB;Zambie;D10;Partiel intégré;Identifier puis tester la source officielle
