EVIDENCE_CODE;SCOPE_TYPE;SCOPE_CODE;ORGANIZATION_CODE_PROPOSED;ORGANIZATION_NAME;ROLE_CODE;DATA_FAMILY;SERIES_OR_DATASET;OFFICIAL_URL;ACCESS_MODE;EXPECTED_FREQUENCY;NATIVE_CURRENCY;VERIFICATION_STATUS;COLLECTION_STATUS;TARGET_DOMAIN;NOTES
SRC_GH_BOG_POLICY;COUNTRY;GHANA;BOG;Bank of Ghana;CENTRAL_BANK;POLICY_RATE;Policy Rate Trends;https://www.bog.gov.gh/monetary-policy/policy-rate-trends/;PUBLIC_WEB;EVENT_DRIVEN;GHS;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D07;MPR decision history
SRC_GH_BOG_AUCTIONS;COUNTRY;GHANA;BOG;Bank of Ghana;GOVERNMENT_SECURITIES_AGENCY;TREASURY_AUCTIONS;Government auction results;https://www.bog.gov.gh/gog_auction_results/;PUBLIC_WEB_FILES;WEEKLY;GHS;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D10;91 182 and 364-day bills plus other issuances
SRC_GH_GSE_INDEX;COUNTRY;GHANA;GSE;Ghana Stock Exchange;INDEX_PROVIDER;EQUITY_INDEX;GSE Composite Index;https://gse.com.gh/trading-and-data/;PUBLIC_WEB;DAILY;GHS;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D11;Current public market data
SRC_GH_GSE_HISTORY;COUNTRY;GHANA;GSE;Ghana Stock Exchange;INDEX_PROVIDER;EQUITY_INDEX_HISTORY;GSE Data Services;https://gse.com.gh/data-services/;REQUEST_OR_LICENSE;DAILY;GHS;ENDPOINT_VERIFIED_DESK_RESEARCH;SOURCE_IDENTIFIED;D11;Historical access conditions must be respected
SRC_GH_GSS;COUNTRY;GHANA;GSS;Ghana Statistical Service;STATISTICS_OFFICE;MACRO;StatsBank;https://statsbank.statsghana.gov.gh/;PUBLIC_DATA_PORTAL;MIXED;GHS;ENDPOINT_VERIFIED_DESK_RESEARCH;SOURCE_IDENTIFIED;D01_D06;Dataset and API paths still to map
SRC_UEMOA_BCEAO_INTERBANK;ZONE;UEMOA;BCEAO;Banque Centrale des États de l'Afrique de l'Ouest;INTERBANK_MARKET_OPERATOR;MONEY_MARKET;Évolution du marché interbancaire;https://www.bceao.int/fr/documents/evolution-du-marche-interbancaire-de-luemoa;PUBLIC_WEB_FILES;MIXED;XOF;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D07;Weighted interbank rates and market activity
SRC_UEMOA_BCEAO_POLICY;ZONE;UEMOA;BCEAO;Banque Centrale des États de l'Afrique de l'Ouest;CENTRAL_BANK;POLICY_RATE;Taux directeurs BCEAO;https://www.bceao.int/fr/documents/taux-directeurs-de-la-bceao;PUBLIC_WEB_FILES;EVENT_DRIVEN;XOF;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D07;Separate tender and marginal-lending rates
SRC_UEMOA_BCEAO_EDEN;ZONE;UEMOA;BCEAO;Banque Centrale des États de l'Afrique de l'Ouest;MONETARY_STATISTICS_PROVIDER;MACRO_MONETARY;EDEN economic and financial database;https://edenpub.bceao.int/index.php;PUBLIC_DATA_PORTAL_EXPORT;MIXED;XOF;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D01_D10;Country and zone series with Excel export
SRC_UEMOA_UMOAT_CURVES;ZONE;UEMOA;UMOA_TITRES;UMOA-Titres;GOVERNMENT_SECURITIES_AGENCY;YIELD_CURVES;Courbes des taux par émetteur;https://www.umoatitres.org/fr/ressources-2/courbe-des-taux/;PUBLIC_WEB;MIXED;XOF;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D10;Retain sovereign issuer country no fictional single UEMOA sovereign curve
SRC_UEMOA_BRVM_HISTORY;ZONE;UEMOA;BRVM;Bourse Régionale des Valeurs Mobilières;INDEX_PROVIDER;EQUITY_INDEX_HISTORY;BRVM historical data;https://www.brvm.org/en/historical-data;REQUEST_OR_LICENSE;DAILY;XOF;ENDPOINT_VERIFIED_DESK_RESEARCH;SOURCE_IDENTIFIED;D11;BRVM Composite history access by request
SRC_UEMOA_AMF;ZONE;UEMOA;AMF_UMOA;Autorité des Marchés Financiers de l'UMOA;CAPITAL_MARKET_REGULATOR;REGULATORY;Official regulator;https://www.amf-umoa.org/;PUBLIC_WEB;EVENT_DRIVEN;XOF;ENDPOINT_VERIFIED_DESK_RESEARCH;SOURCE_IDENTIFIED;D00_D12;Organization and fund-regulator roles to add
SRC_TN_BCT_TMM;COUNTRY;TUNISIE;BCT;Banque Centrale de Tunisie;CENTRAL_BANK;MONEY_MARKET;TMM and TRE;https://oif.bct.gov.tn/slider/72;PUBLIC_WEB;DAILY_MONTHLY;TND;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D07_D08;TMM is money-market reference and TRE is savings reference
SRC_TN_BCT_STATS;COUNTRY;TUNISIE;BCT;Banque Centrale de Tunisie;MONETARY_STATISTICS_PROVIDER;MACRO_MONETARY;Statistical portal;https://www.bct.gov.tn/bct/siteprod/cours.jsp;PUBLIC_WEB;MIXED;TND;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D03_D09;Series-level routes still to identify
SRC_TN_CMF_CURVES;COUNTRY;TUNISIE;CMF_TUNISIE;Conseil du Marché Financier;CAPITAL_MARKET_REGULATOR;YIELD_CURVES;Courbes des taux;https://www.cmf.tn/courbes-des-taux;PUBLIC_WEB_FILES;DAILY;TND;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D10;Preserve curve date tenor and methodology
SRC_TN_BVMT_INDEX;COUNTRY;TUNISIE;BVMT;Bourse de Tunis;INDEX_PROVIDER;EQUITY_INDEX;TUNINDEX;https://www.bvmt.com.tn/;PUBLIC_WEB_FILES;DAILY;TND;ENDPOINT_VERIFIED_DESK_RESEARCH;SOURCE_IDENTIFIED;D11;Exact history endpoint and return type still to validate
SRC_TN_INS;COUNTRY;TUNISIE;INS_TUNISIE;Institut National de la Statistique;STATISTICS_OFFICE;MACRO;Official statistics;https://www.ins.tn/;PUBLIC_WEB_FILES;MIXED;TND;ENDPOINT_VERIFIED_DESK_RESEARCH;SOURCE_IDENTIFIED;D01_D06;Series-level endpoints still required
SRC_EG_CBE_CONIA;COUNTRY;EGYPTE;CBE;Central Bank of Egypt;CENTRAL_BANK;RISK_FREE_RATE;CONIA;https://www.cbe.org.eg/en/economic-research/statistics/conia;PUBLIC_WEB_EXPORT;DAILY;EGP;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D07;Official overnight reference rate
SRC_EG_CBE_CORRIDOR;COUNTRY;EGYPTE;CBE;Central Bank of Egypt;CENTRAL_BANK;POLICY_RATE;Overnight deposit and lending historical data;https://www.cbe.org.eg/en/economic-research/statistics/overnight-deposit-and-lending-rate/historical-data;PUBLIC_WEB_EXPORT;EVENT_DRIVEN;EGP;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D07;Deposit and lending corridor must remain separate
SRC_EG_CBE_BANK_RATES;COUNTRY;EGYPTE;CBE;Central Bank of Egypt;CENTRAL_BANK;BANKING_RATES;Monthly interest rates;https://www.cbe.org.eg/en/economic-research/statistics/monthly-interest-rates;PUBLIC_WEB_EXPORT;MONTHLY;EGP;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D08;Deposit and loan categories
SRC_EG_CBE_INTERBANK;COUNTRY;EGYPTE;CBE;Central Bank of Egypt;INTERBANK_MARKET_OPERATOR;MONEY_MARKET;Daily interbank rates and volumes;https://www.cbe.org.eg/en/economic-research/statistics/daily-interbank-rates-and-volumes;PUBLIC_WEB_EXPORT;DAILY;EGP;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D07;Preserve volume and rate fields
SRC_EG_CBE_TBILLS;COUNTRY;EGYPTE;CBE;Central Bank of Egypt;GOVERNMENT_SECURITIES_AGENCY;TREASURY_AUCTIONS;EGP T-bills historical data;https://www.cbe.org.eg/en/auctions/egp-t-bills/historical-data;PUBLIC_WEB_EXPORT;EVENT_DRIVEN;EGP;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D10;Primary bill history by tenor
SRC_EG_CBE_TBONDS;COUNTRY;EGYPTE;CBE;Central Bank of Egypt;GOVERNMENT_SECURITIES_AGENCY;BOND_AUCTIONS;EGP T-bonds fixed-coupon historical data;https://www.cbe.org.eg/en/auctions/egp-t-bonds-fixed-coupon/historical-data;PUBLIC_WEB_EXPORT;EVENT_DRIVEN;EGP;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D10;Preserve instrument and maturity
SRC_EG_EGX_INDEX;COUNTRY;EGYPTE;EGX;Egyptian Exchange;INDEX_PROVIDER;EQUITY_INDEX;EGX index data;https://www.egx.com.eg/en/indexdata.aspx?nav=1&type=1;PUBLIC_WEB;DAILY;EGP;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D11;Confirm chosen broad-index methodology
SRC_EG_CAPMAS;COUNTRY;EGYPTE;CAPMAS;Central Agency for Public Mobilization and Statistics;STATISTICS_OFFICE;MACRO;Official statistics;https://www.capmas.gov.eg/;PUBLIC_WEB_FILES;MIXED;EGP;ENDPOINT_VERIFIED_DESK_RESEARCH;SOURCE_IDENTIFIED;D01_D06;Series-level endpoints still required
SRC_NG_CBN_NOFR;COUNTRY;NIGERIA;CBN;Central Bank of Nigeria;CENTRAL_BANK;RISK_FREE_RATE;NOFR and NOFRI;https://www.cbn.gov.ng/rates/NOF_Rates.html;PUBLIC_WEB_EXPORT;DAILY;NGN;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D07;NOFR overnight plus NOFRI 30 90 and 180 days
SRC_NG_CBN_RATES;COUNTRY;NIGERIA;CBN;Central Bank of Nigeria;CENTRAL_BANK;MONETARY_BANKING_RATES;CBN rates and statistics;https://www.cbn.gov.ng/rates/;PUBLIC_WEB_EXPORT;MIXED;NGN;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D07_D10;Map each table to separate provider series
SRC_NG_CBN_MACRO;COUNTRY;NIGERIA;CBN;Central Bank of Nigeria;MONETARY_STATISTICS_PROVIDER;MACRO_MONETARY;Macro indicators;https://www.cbn.gov.ng/rates/MacroIndicators.html;PUBLIC_WEB_EXPORT;MIXED;NGN;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D03_D09;Preserve vintages and units
SRC_NG_DMO_BONDS;COUNTRY;NIGERIA;DMO_NIGERIA;Debt Management Office Nigeria;DEBT_MANAGEMENT_OFFICE;BOND_AUCTIONS;FGN bond auction results;https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results;PUBLIC_WEB_FILES;MONTHLY_EVENT_DRIVEN;NGN;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D10;Instrument-level auction history
SRC_NG_FMDQ_MARKET;COUNTRY;NIGERIA;FMDQ;FMDQ Exchange;FIXED_INCOME_MARKET_OPERATOR;MONEY_AND_DEBT_MARKET;NIBOR NITTY and market data;https://fmdqgroup.com/exchange/market-data/;LICENSE_OR_SUBSCRIPTION;DAILY;NGN;ENDPOINT_VERIFIED_DESK_RESEARCH;SOURCE_IDENTIFIED;D07_D10;Add organization only after role and legal identity review
SRC_NG_NGX_INDEX;COUNTRY;NIGERIA;NGX;Nigerian Exchange;INDEX_PROVIDER;EQUITY_INDEX;NGX indices;https://ngxgroup.com/exchange/data/indices/;PUBLIC_WEB;DAILY;NGN;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D11;NGX All-Share Index
SRC_NG_NGX_HISTORY;COUNTRY;NIGERIA;NGX;Nigerian Exchange;INDEX_PROVIDER;EQUITY_INDEX_HISTORY;Historical data;https://ngxgroup.com/exchange/data/historical-data/;LICENSE_OR_SUBSCRIPTION;DAILY;NGN;ENDPOINT_VERIFIED_DESK_RESEARCH;SOURCE_IDENTIFIED;D11;Long history subject to data-service terms
SRC_NG_NBS;COUNTRY;NIGERIA;NBS_NIGERIA;National Bureau of Statistics;STATISTICS_OFFICE;MACRO;Official statistics;https://www.nigerianstat.gov.ng/;PUBLIC_WEB_FILES;MIXED;NGN;ENDPOINT_VERIFIED_DESK_RESEARCH;SOURCE_IDENTIFIED;D01_D06;Series-level endpoints still required
SRC_NG_SEC_FUNDS;COUNTRY;NIGERIA;SEC_NIGERIA;Securities and Exchange Commission Nigeria;FUND_REGULATOR;FUNDS;Weekly CIS valuation files and registers;https://www.sec.gov.ng/;PUBLIC_WEB_FILES;WEEKLY_EVENT_DRIVEN;NGN_USD;ENDPOINT_VERIFIED_DESK_RESEARCH;SOURCE_IDENTIFIED;D12;Exact archive and file discovery rules required
SRC_KE_CBK_KESONIA;COUNTRY;KENYA;CBK;Central Bank of Kenya;CENTRAL_BANK;RISK_FREE_RATE;KESONIA;https://www.centralbank.go.ke/kesonia-interest-rate-benchmark/;PUBLIC_WEB_EXPORT;DAILY;KES;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D07;Official overnight reference benchmark
SRC_KE_CBK_BANK_RATES;COUNTRY;KENYA;CBK;Central Bank of Kenya;CENTRAL_BANK;BANKING_RATES;Historical interest rates;https://www.centralbank.go.ke/statistics/interest-rates/;PUBLIC_WEB_FILES;MONTHLY;KES;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D07_D08;Deposit savings lending and overdraft series
SRC_KE_CBK_TBILLS;COUNTRY;KENYA;CBK;Central Bank of Kenya;GOVERNMENT_SECURITIES_AGENCY;TREASURY_AUCTIONS;Treasury bills;https://www.centralbank.go.ke/bills-bonds/treasury-bills/;PUBLIC_WEB_FILES;WEEKLY;KES;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D10;91 182 and 364-day bills
SRC_KE_CBK_TBONDS;COUNTRY;KENYA;CBK;Central Bank of Kenya;GOVERNMENT_SECURITIES_AGENCY;BOND_AUCTIONS;Treasury bonds;https://www.centralbank.go.ke/bills-bonds/treasury-bonds/;PUBLIC_WEB_FILES;EVENT_DRIVEN;KES;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D10;Instrument and auction data
SRC_KE_NSE_HISTORY;COUNTRY;KENYA;NSE;Nairobi Securities Exchange;INDEX_PROVIDER;EQUITY_INDEX_HISTORY;Historical data services;https://www.nse.co.ke/dataservices/historical-data/;LICENSE_OR_SUBSCRIPTION;DAILY;KES;ENDPOINT_VERIFIED_DESK_RESEARCH;SOURCE_IDENTIFIED;D11;NASI history subject to data-service terms
SRC_KE_KNBS;COUNTRY;KENYA;KNBS;Kenya National Bureau of Statistics;STATISTICS_OFFICE;MACRO;Official statistics;https://www.knbs.or.ke/;PUBLIC_WEB_FILES;MIXED;KES;ENDPOINT_VERIFIED_DESK_RESEARCH;SOURCE_IDENTIFIED;D01_D06;Series-level endpoints still required
SRC_CEMAC_BEAC_MONEY;ZONE;CEMAC;BEAC;Banque des États de l'Afrique Centrale;INTERBANK_MARKET_OPERATOR;MONEY_MARKET;Statistiques du marché monétaire;https://www.beac.int/economie-stats/statistiques-marche-monetaire/;PUBLIC_WEB_FILES;MIXED;XAF;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D07;TIMP and liquidity statistics
SRC_CEMAC_BEAC_SECURITIES;ZONE;CEMAC;BEAC;Banque des États de l'Afrique Centrale;GOVERNMENT_SECURITIES_AGENCY;PUBLIC_SECURITIES;Statistiques des titres publics;https://www.beac.int/economie-stats/statistiques-titres-publics/;PUBLIC_WEB_FILES;MIXED;XAF;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D10;Retain sovereign issuer country
SRC_CEMAC_BEAC_DATABASE;ZONE;CEMAC;BEAC;Banque des États de l'Afrique Centrale;MONETARY_STATISTICS_PROVIDER;MACRO_MONETARY;Base économique monétaire et financière;https://www.beac.int/base-de-donnees-economiques-monetaires-financieres/;PUBLIC_DATA_PORTAL;MIXED;XAF;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D01_D10;Country and zone observations
SRC_CEMAC_BEAC_BULLETINS;ZONE;CEMAC;BEAC;Banque des États de l'Afrique Centrale;GOVERNMENT_SECURITIES_AGENCY;PUBLIC_SECURITIES;Bulletins du marché des titres publics;https://www.beac.int/m-des-titres-publics/bulletins-marche-titres-publics/;PUBLIC_WEB_FILES;MIXED;XAF;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D10;Document-level extraction required
SRC_CEMAC_COSUMAF;ZONE;CEMAC;COSUMAF;Commission de Surveillance du Marché Financier de l'Afrique Centrale;CAPITAL_MARKET_REGULATOR;REGULATORY;Official regulator;https://cosumaf.org/accueil;PUBLIC_WEB;EVENT_DRIVEN;XAF;ENDPOINT_VERIFIED_DESK_RESEARCH;SOURCE_IDENTIFIED;D00_D12;Organization and fund-regulator roles to add
SRC_CEMAC_BVMAC;ZONE;CEMAC;BVMAC;Bourse des Valeurs Mobilières de l'Afrique Centrale;INDEX_PROVIDER;EQUITY_INDEX;BVMAC market data and bulletins;https://www.bvm-ac.org/;PUBLIC_WEB_PDF;DAILY;XAF;ENDPOINT_VERIFIED_DESK_RESEARCH;SOURCE_IDENTIFIED;D11;All Share level currently found in official bulletins
SRC_BW_BOB_RATES;COUNTRY;BOTSWANA;BOB;Bank of Botswana;CENTRAL_BANK;MONETARY_BANKING_RATES;Interest rates;https://www.bankofbotswana.bw/content/interest-rates;PUBLIC_WEB;MIXED;BWP;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D07_D08;Separate policy interbank deposit and lending series
SRC_BW_BOB_HISTORY;COUNTRY;BOTSWANA;BOB;Bank of Botswana;CENTRAL_BANK;HISTORICAL_DATA;Historical data;https://www.bankofbotswana.bw/content/historical-data;PUBLIC_WEB_FILES;MIXED;BWP;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D03_D10;Inventory individual datasets before complete-history claim
SRC_BW_BOB_MACRO;COUNTRY;BOTSWANA;BOB;Bank of Botswana;MONETARY_STATISTICS_PROVIDER;MACRO_MONETARY;Economic and financial data;https://www.bankofbotswana.bw/content/economic-and-financial-data;PUBLIC_WEB_FILES;MIXED;BWP;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D03_D09;Preserve revisions
SRC_BW_BOB_SECURITIES;COUNTRY;BOTSWANA;BOB;Bank of Botswana;GOVERNMENT_SECURITIES_AGENCY;PUBLIC_SECURITIES;Government securities;https://www.bankofbotswana.bw/content/government-securities;PUBLIC_WEB_FILES;EVENT_DRIVEN;BWP;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D10;Bills and bonds
SRC_BW_BSE;COUNTRY;BOTSWANA;BSE;Botswana Stock Exchange;INDEX_PROVIDER;EQUITY_INDEX;Domestic Company Index;https://www.bse.co.bw/;PUBLIC_WEB_FILES;DAILY;BWP;ENDPOINT_VERIFIED_DESK_RESEARCH;SOURCE_IDENTIFIED;D11;Exact history path and return type still required
SRC_BW_STATS;COUNTRY;BOTSWANA;STATISTICS_BOTSWANA;Statistics Botswana;STATISTICS_OFFICE;MACRO;Data portal;https://www.statsbots.org.bw/data-portal-0;PUBLIC_DATA_PORTAL;MIXED;BWP;ENDPOINT_VERIFIED_DESK_RESEARCH;SOURCE_IDENTIFIED;D01_D06;Dataset routes still required
SRC_NA_BON_REPO;COUNTRY;NAMIBIE;BON;Bank of Namibia;CENTRAL_BANK;POLICY_RATE;Repo Rate History;https://www.bon.com.na/Bank/Monetary-Policy/Repo-rate-history.aspx;PUBLIC_WEB;EVENT_DRIVEN;NAD;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D07;Policy reference not a named local RFR
SRC_NA_BON_YIELD;COUNTRY;NAMIBIE;BON;Bank of Namibia;CENTRAL_BANK;SOVEREIGN_YIELDS;Daily Benchmark Yield;https://www.bon.com.na/Bank/Financial-Markets/Investor-Relations/Market-Data-and-Information/Daily-Benchmark-Yield.aspx;PUBLIC_WEB;DAILY;NAD;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D10;Preserve tenors and conventions
SRC_NA_BON_ODP;COUNTRY;NAMIBIE;BON;Bank of Namibia;MONETARY_STATISTICS_PROVIDER;MACRO_MONETARY;Open Data Platform;https://www.bon.com.na/Economic-information/Statistical-information/Open-Data-Platform-%28ODP%29.aspx;PUBLIC_DATA_PORTAL;MIXED;NAD;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D03_D09;Series identifiers still required
SRC_NA_NSX;COUNTRY;NAMIBIE;NSX;Namibian Stock Exchange;INDEX_PROVIDER;EQUITY_INDEX;NSX Overall and Local indices;https://nsx.com.na/;PUBLIC_WEB_FILES;DAILY;NAD;ENDPOINT_VERIFIED_DESK_RESEARCH;SOURCE_IDENTIFIED;D11;FTSE licensing may apply
SRC_NA_NSA;COUNTRY;NAMIBIE;NSA_NAMIBIA;Namibia Statistics Agency;STATISTICS_OFFICE;MACRO;Data portals;https://nsa.org.na/data-portals/;PUBLIC_DATA_PORTAL;MIXED;NAD;ENDPOINT_VERIFIED_DESK_RESEARCH;SOURCE_IDENTIFIED;D01_D06;Dataset routes still required
SRC_ET_NBE_FRAMEWORK;COUNTRY;ETHIOPIE;NBE;National Bank of Ethiopia;CENTRAL_BANK;POLICY_RATE;National Bank Rate framework;https://nbe.gov.et/monetary-policy/the-national-bank-of-ethiopia-announces-the-launch-of-a-new-monetary-policy-framework/;PUBLIC_WEB;EVENT_DRIVEN;ETB;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D07;Store policy decisions as events
SRC_ET_ESX_FIXED;COUNTRY;ETHIOPIE;ESX;Ethiopian Securities Exchange;FIXED_INCOME_MARKET_OPERATOR;MONEY_AND_FIXED_INCOME;Overnight and seven-day interbank data;https://esx.et/fixed-income-market/data/;PUBLIC_WEB;DAILY;ETB;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D07_D10;Preserve market segment and tenor
SRC_ET_NBE_BILLS;COUNTRY;ETHIOPIE;NBE;National Bank of Ethiopia;GOVERNMENT_SECURITIES_AGENCY;TREASURY_AUCTIONS;Treasury bills;https://nbe.gov.et/treasury-bills/;PUBLIC_WEB_FILES;EVENT_DRIVEN;ETB;ENDPOINT_VERIFIED_DESK_RESEARCH;URL_LINKED;D10;Short-end history no full sovereign curve claim
SRC_ET_ESX_EQUITY;COUNTRY;ETHIOPIE;ESX;Ethiopian Securities Exchange;STOCK_EXCHANGE;EQUITY_MARKET;Listed companies;https://esx.et/equity-market/listed-companies/;PUBLIC_WEB;EVENT_DRIVEN;ETB;ENDPOINT_VERIFIED_DESK_RESEARCH;SOURCE_IDENTIFIED;D11;Do not assert a broad official index until documented
SRC_ET_ESS;COUNTRY;ETHIOPIE;ESS_ETHIOPIA;Ethiopian Statistical Service;STATISTICS_OFFICE;MACRO;Official statistics;https://ess.gov.et/;PUBLIC_WEB_FILES;MIXED;ETB;ENDPOINT_VERIFIED_DESK_RESEARCH;SOURCE_IDENTIFIED;D01_D06;Series-level endpoints still required
