ACTION_CODE;SCOPE_CODE;OBJECT_TYPE;PROPOSED_CODE;TARGET_FILE;ACTION;DEPENDENCY;RECOMMENDED_STATUS;MUST_NOT_DO;NOTES
ACT_ORG_ESX;ETHIOPIE;ORGANIZATION;ESX;data/reference/ORGANIZATIONS.csv;ADD_AFTER_REVIEW;Market role review;VALIDATED_AFTER_OFFICIAL_IDENTITY_REVIEW;DO_NOT_ASSERT_BROAD_INDEX;New securities exchange
ACT_ORG_ESS;ETHIOPIE;ORGANIZATION;ESS_ETHIOPIA;data/reference/ORGANIZATIONS.csv;ADD_AFTER_REVIEW;Official identity review;VALIDATED_AFTER_OFFICIAL_IDENTITY_REVIEW;DO_NOT_USE_AGGREGATOR;Statistics office
ACT_ORG_AMF_UMOA;UEMOA;ORGANIZATION;AMF_UMOA;data/reference/ORGANIZATIONS.csv;ADD_AFTER_REVIEW;Zone identity exists;VALIDATED_AFTER_OFFICIAL_IDENTITY_REVIEW;DO_NOT_DUPLICATE_PER_COUNTRY;Regional regulator
ACT_ORG_UMOA_TITRES;UEMOA;ORGANIZATION;UMOA_TITRES;data/reference/ORGANIZATIONS.csv;ADD_AFTER_REVIEW;Zone identity exists;VALIDATED_AFTER_OFFICIAL_IDENTITY_REVIEW;DO_NOT_DUPLICATE_PER_COUNTRY;Regional securities agency
ACT_ORG_COSUMAF;CEMAC;ORGANIZATION;COSUMAF;data/reference/ORGANIZATIONS.csv;ADD_AFTER_REVIEW;Zone identity exists;VALIDATED_AFTER_OFFICIAL_IDENTITY_REVIEW;DO_NOT_DUPLICATE_PER_COUNTRY;Regional regulator
ACT_ORG_FMDQ;NIGERIA;ORGANIZATION;FMDQ;data/reference/ORGANIZATIONS.csv;ADD_AFTER_LEGAL_AND_ROLE_REVIEW;Exact legal entity and market roles;PENDING;DO_NOT_TREAT_LICENSED_DATA_AS_OPEN;Fixed-income and money-market infrastructure
ACT_ENDPOINTS_EXISTING;MAROC_GHANA_UEMOA_TUNISIE_EGYPTE_NIGERIA_KENYA_CEMAC;ENDPOINT;MULTIPLE;data/reference/SOURCE_ENDPOINTS.csv;ADD_SPECIALIZED_ENDPOINT_ROWS;Organization codes must exist;VALIDATED_FOR_EXACT_OFFICIAL_URL;DO_NOT_OVERWRITE_GENERIC_HOMEPAGES;One endpoint per collectable data page or directory
ACT_ENDPOINTS_NEW;BOTSWANA_NAMIBIE_ETHIOPIE;ENDPOINT;MULTIPLE;data/reference/SOURCE_ENDPOINTS.csv;ADD_AFTER_ORGANIZATIONS;Organization and roles loaded;VALIDATED_FOR_EXACT_OFFICIAL_URL;DO_NOT_SKIP_ORGANIZATION_LAYER;Use inventory evidence
ACT_MAP_MONIA;MAROC;INDICATOR_SOURCE_MAPPING;MAROC_D07_MONIA;data/reference/COUNTRY_OR_ZONE_INDICATOR_SOURCE_MAPPING.csv;ADD_MAPPING;BAM_MONIA endpoint;URL_LINKED;DO_NOT_MAP_AS_POLICY_RATE;Overnight transaction-based reference
ACT_MAP_IBWAR;GHANA;INDICATOR_SOURCE_MAPPING;GHANA_D07_IBWAR;data/reference/COUNTRY_OR_ZONE_INDICATOR_SOURCE_MAPPING.csv;ADD_MAPPING;BOG_RATES endpoint;URL_LINKED;DO_NOT_LABEL_AS_NAMED_RFR;Weighted interbank average
ACT_MAP_BCEAO_INTERBANK;UEMOA;INDICATOR_SOURCE_MAPPING;UEMOA_D07_INTERBANK;data/reference/COUNTRY_OR_ZONE_INDICATOR_SOURCE_MAPPING.csv;ENRICH_EXISTING_MAPPING;BCEAO interbank endpoint;URL_LINKED;DO_NOT_DUPLICATE_FOR_MEMBER_COUNTRIES;Zone series
ACT_MAP_TMM;TUNISIE;INDICATOR_SOURCE_MAPPING;TUNISIE_D07_TMM;data/reference/COUNTRY_OR_ZONE_INDICATOR_SOURCE_MAPPING.csv;ADD_MAPPING;BCT TMM endpoint;URL_LINKED;DO_NOT_MAP_AS_SOVEREIGN_YIELD;Money-market reference
ACT_MAP_CONIA;EGYPTE;INDICATOR_SOURCE_MAPPING;EGYPTE_D07_CONIA;data/reference/COUNTRY_OR_ZONE_INDICATOR_SOURCE_MAPPING.csv;ADD_MAPPING;CBE CONIA endpoint;URL_LINKED;DO_NOT_COLLAPSE_WITH_CORRIDOR;Official overnight reference
ACT_MAP_NOFR;NIGERIA;INDICATOR_SOURCE_MAPPING;NIGERIA_D07_NOFR;data/reference/COUNTRY_OR_ZONE_INDICATOR_SOURCE_MAPPING.csv;ADD_MAPPING;CBN NOFR endpoint;URL_LINKED;DO_NOT_REPLACE_WITH_NIBOR;Primary overnight risk-free reference
ACT_MAP_NOFRI;NIGERIA;INDICATOR_SOURCE_MAPPING;NIGERIA_D07_NOFRI;data/reference/COUNTRY_OR_ZONE_INDICATOR_SOURCE_MAPPING.csv;ADD_TENOR_SPECIFIC_MAPPINGS;CBN NOFR endpoint;URL_LINKED;DO_NOT_STORE_30_90_180_IN_ONE_VALUE_FIELD;Separate compounded tenors
ACT_MAP_KESONIA;KENYA;INDICATOR_SOURCE_MAPPING;KENYA_D07_KESONIA;data/reference/COUNTRY_OR_ZONE_INDICATOR_SOURCE_MAPPING.csv;ADD_MAPPING;CBK KESONIA endpoint;URL_LINKED;DO_NOT_MAP_AS_POLICY_RATE;Official overnight benchmark
ACT_MAP_TIMP;CEMAC;INDICATOR_SOURCE_MAPPING;CEMAC_D07_TIMP;data/reference/COUNTRY_OR_ZONE_INDICATOR_SOURCE_MAPPING.csv;ADD_MAPPING;BEAC money-market endpoint;URL_LINKED;DO_NOT_DUPLICATE_FOR_MEMBER_COUNTRIES;Zone interbank series
ACT_MAP_BW_RATES;BOTSWANA;INDICATOR_SOURCE_MAPPING;BOTSWANA_D07_D08_RATES;data/reference/COUNTRY_OR_ZONE_INDICATOR_SOURCE_MAPPING.csv;ADD_SEPARATE_RATE_MAPPINGS;BOB rates endpoint;URL_LINKED;DO_NOT_USE_ONE_GENERIC_RATE;Separate policy interbank deposit and lending
ACT_MAP_NA_REPO;NAMIBIE;INDICATOR_SOURCE_MAPPING;NAMIBIE_D07_REPO;data/reference/COUNTRY_OR_ZONE_INDICATOR_SOURCE_MAPPING.csv;ADD_MAPPING;BON repo endpoint;URL_LINKED;DO_NOT_LABEL_AS_LOCAL_RFR;Policy reference
ACT_MAP_ET_INTERBANK;ETHIOPIE;INDICATOR_SOURCE_MAPPING;ETHIOPIE_D07_INTERBANK;data/reference/COUNTRY_OR_ZONE_INDICATOR_SOURCE_MAPPING.csv;ADD_TENOR_SPECIFIC_MAPPINGS;ESX fixed-income endpoint;URL_LINKED;DO_NOT_MERGE_ON_AND_7D;Separate overnight and seven-day observations
ACT_PROVIDER_NOFR;NIGERIA;PROVIDER_SERIES;PS_NIGERIA_NOFR_ON;data/reference/PROVIDER_SERIES.csv;ADD_EXACT_SERIES;NIGERIA_D07_NOFR mapping;SERIES_IDENTIFIED;DO_NOT_MARK_HISTORY_LOADED;Official source URL verified
ACT_PROVIDER_NOFRI30;NIGERIA;PROVIDER_SERIES;PS_NIGERIA_NOFRI_30D;data/reference/PROVIDER_SERIES.csv;ADD_EXACT_SERIES;NIGERIA_D07_NOFRI mapping;SERIES_IDENTIFIED;DO_NOT_MARK_HISTORY_LOADED;Compounded index tenor
ACT_PROVIDER_NOFRI90;NIGERIA;PROVIDER_SERIES;PS_NIGERIA_NOFRI_90D;data/reference/PROVIDER_SERIES.csv;ADD_EXACT_SERIES;NIGERIA_D07_NOFRI mapping;SERIES_IDENTIFIED;DO_NOT_MARK_HISTORY_LOADED;Compounded index tenor
ACT_PROVIDER_NOFRI180;NIGERIA;PROVIDER_SERIES;PS_NIGERIA_NOFRI_180D;data/reference/PROVIDER_SERIES.csv;ADD_EXACT_SERIES;NIGERIA_D07_NOFRI mapping;SERIES_IDENTIFIED;DO_NOT_MARK_HISTORY_LOADED;Compounded index tenor
ACT_PROVIDER_MONIA;MAROC;PROVIDER_SERIES;PS_MAROC_MONIA_ON;data/reference/PROVIDER_SERIES.csv;ADD_EXACT_SERIES;MAROC_D07_MONIA mapping;SERIES_IDENTIFIED;DO_NOT_MARK_HISTORY_LOADED;Exact native labels to preserve
ACT_PROVIDER_CONIA;EGYPTE;PROVIDER_SERIES;PS_EGYPTE_CONIA_ON;data/reference/PROVIDER_SERIES.csv;ADD_EXACT_SERIES;EGYPTE_D07_CONIA mapping;SERIES_IDENTIFIED;DO_NOT_MARK_HISTORY_LOADED;Exact native labels to preserve
ACT_PROVIDER_KESONIA;KENYA;PROVIDER_SERIES;PS_KENYA_KESONIA_ON;data/reference/PROVIDER_SERIES.csv;ADD_EXACT_SERIES;KENYA_D07_KESONIA mapping;SERIES_IDENTIFIED;DO_NOT_MARK_HISTORY_LOADED;Exact native labels to preserve
ACT_PROVIDER_CURVES;MULTIPLE;PROVIDER_SERIES;MULTIPLE_TENOR_SERIES;data/reference/PROVIDER_SERIES.csv;ADD_PER_MEASURE_AND_TENOR;Exact endpoints loaded;PENDING;DO_NOT_USE_MIXED_PROVIDER_SERIES_AS_FINAL_MODEL;Separate auctions instruments observed yields and calculated curves
ACT_SPEC_RFR;MULTIPLE;COLLECTION_SPECIFICATION;CS_COUNTRY_RATE_SPECIFIC;data/reference/COLLECTION_SPECIFICATIONS.csv;DRAFT_ONE_SPEC_PER_PROVIDER_SERIES;Exact page format and date rules verified;SPECIFICATION_REQUIRED;DO_NOT_USE_GENERIC_TEMPLATE_AS_EXECUTABLE;Parser must preserve raw artifacts
ACT_SPEC_CURVES;MULTIPLE;COLLECTION_SPECIFICATION;CS_COUNTRY_CURVE_SPECIFIC;data/reference/COLLECTION_SPECIFICATIONS.csv;DRAFT_PER_SOURCE_AND_DATASET;File discovery and tenor rules verified;SPECIFICATION_REQUIRED;DO_NOT_COMBINE_AUCTION_AND_CURVE_PARSERS;Instrument observations precede derived curves
ACT_EVIDENCE;MULTIPLE;COLLECTION_TEST_EVIDENCE;NONE;data/reference/COLLECTION_TEST_EVIDENCE.csv;NO_CHANGE_UNTIL_REAL_RUN;Collector raw hash and test results;NOT_APPLICABLE;DO_NOT_ADD_DESK_RESEARCH_AS_COLLECTION_EVIDENCE;Use handoff inventory for research evidence
ACT_DOC_WAVE01;UEMOA_CEMAC;DOCUMENTATION;PILOT_COLLECTION_WAVE_01;docs/06_SOURCES/PILOT_COLLECTION_WAVE_01.md;UPDATE_AFTER_REVIEW;Current readiness and evidence files;DOCUMENTATION_UPDATE_REQUIRED;DO_NOT_REVERT_VALIDATED_FX_STATUS;Document currently contains stale no-series-tested statement
ACT_RECONCILE_ENDPOINT_MODEL;GLOBAL;SCHEMA;SOURCE_ENDPOINT;schemas/reference/007_source_endpoint_reconciliation.sql;KEEP_CANONICAL_RECONCILIATION;Existing migration ordering;REVIEW_REQUIRED;DO_NOT_SEED_SOURCE_SOURCE_ENDPOINT_COMPETING_TABLE;country_indicator_information_model is proposal only
ACT_TEST_CODES;GLOBAL;TEST;SOURCE_REFERENCE_VALIDATION;tests;ADD_ASSERTIONS_WITH_CANONICAL_CHANGES;Canonical CSV modifications;REQUIRED;DO_NOT_MERGE_WITHOUT_TESTS;Check uppercase no accent uniqueness FK and URL status
ACT_TEST_COLLECTORS;GLOBAL;TEST;COLLECTOR_IDEMPOTENCE;tests;ADD_PER_IMPLEMENTED_COLLECTOR;Raw fixture and parser;REQUIRED;DO_NOT_MARK_COLLECTION_TESTED_WITHOUT_RUN;Second identical load must skip
