MAPPING_ID;STANDARD_VERSION;EXTERNAL_FIELD_ID;CANONICAL_FIELD_ID;CANONICAL_ENTITY;MAPPING_STATUS;TRANSFORMATION_RULE;INFORMATION_LOSS;IMPORT_SUPPORTED;EXPORT_SUPPORTED;VALIDATION_STATUS;SOURCE_SHA256;SOURCE_REFERENCE;NOTES
MAP-000011;2.13.0;OFST020015;OF_FUND_FUND_ENTITY_IDENTIFIER_IDENTIFIER_SCHEME;FUND_ENTITY_IDENTIFIER;ONE_TO_MANY;CONSTANT_WKN;NONE;YES;YES;VALIDATED;40b562a10e92cf809449302e8c9eacf785f5c8a66ff644d1a5c36fc4380cebb4;official:v2.13.0:OFST020015;WKN source field deterministically sets identifier scheme to WKN and selects WKN records on export
MAP-000012;2.13.0;OFST020015;OF_FUND_FUND_ENTITY_IDENTIFIER_NORMALIZED_VALUE;FUND_ENTITY_IDENTIFIER;ONE_TO_MANY;TRIM_AND_UPPERCASE_WKN;NONE;YES;YES;VALIDATED;40b562a10e92cf809449302e8c9eacf785f5c8a66ff644d1a5c36fc4380cebb4;official:v2.13.0:OFST020015;Derived uppercase trimmed WKN matching value remains reversible through the preserved source identifier value
MAP-000013;2.13.0;OFST020400;OF_FUND_SHARE_CLASS_PROFILE_DISTRIBUTION_POLICY;SHARE_CLASS_PROFILE;TRANSFORMED;OPENFUNDS_DISTRIBUTION_POLICY_TO_CANONICAL_ENUM;NONE;YES;YES;VALIDATED;40b562a10e92cf809449302e8c9eacf785f5c8a66ff644d1a5c36fc4380cebb4;official:v2.13.0:OFST020400;Maps accumulating to ACCUMULATING, distributing to DISTRIBUTING, and accumulating & distributing to MIXED without information loss
MAP-000014;2.13.0;OFST020040;OF_FUND_LISTING_IDENTIFIER_IDENTIFIER_VALUE;LISTING_IDENTIFIER;ONE_TO_MANY;IDENTITY;NONE;NO;NO;VALIDATED;40b562a10e92cf809449302e8c9eacf785f5c8a66ff644d1a5c36fc4380cebb4;official:v2.13.0:OFST020040;LICENSE_GATE_REQUIRED: semantic mapping validated but official Openfunds record warns licensing may apply to ingesting, storing or distributing SEDOL data; runtime import/export remains disabled
MAP-000015;2.13.0;OFST020040;OF_FUND_LISTING_IDENTIFIER_IDENTIFIER_SCHEME;LISTING_IDENTIFIER;ONE_TO_MANY;CONSTANT_SEDOL;NONE;NO;NO;VALIDATED;40b562a10e92cf809449302e8c9eacf785f5c8a66ff644d1a5c36fc4380cebb4;official:v2.13.0:OFST020040;LICENSE_GATE_REQUIRED: SEDOL deterministically sets the listing identifier scheme, but ingestion/storage/distribution remains disabled pending explicit licensing clearance
MAP-000016;2.13.0;OFST020040;OF_FUND_LISTING_IDENTIFIER_NORMALIZED_VALUE;LISTING_IDENTIFIER;ONE_TO_MANY;TRIM_AND_UPPERCASE_SEDOL;NONE;NO;NO;VALIDATED;40b562a10e92cf809449302e8c9eacf785f5c8a66ff644d1a5c36fc4380cebb4;official:v2.13.0:OFST020040;LICENSE_GATE_REQUIRED: normalized SEDOL is retained only as mapping semantics; runtime ingestion/storage/distribution remains disabled pending explicit licensing clearance
MAP-000017;2.13.0;OFST062030;OF_FUND_LISTING_VENUE_MIC;LISTING;TRANSFORMED;TRIM_AND_UPPERCASE_MIC;NONE;YES;YES;VALIDATED;40b562a10e92cf809449302e8c9eacf785f5c8a66ff644d1a5c36fc4380cebb4;official:v2.13.0:OFST062030;Market Identifier Code maps to the canonical listing venue MIC and preserves the official MIC rather than an exchange display label
MAP-000018;2.13.0;OFST062050;OF_FUND_LISTING_IS_PRIMARY;LISTING;TRANSFORMED;OPENFUNDS_YES_NO_TO_BOOLEAN;NONE;YES;YES;VALIDATED;40b562a10e92cf809449302e8c9eacf785f5c8a66ff644d1a5c36fc4380cebb4;official:v2.13.0:OFST062050;Openfunds yes/no primary-listing value maps deterministically to canonical boolean is_primary
MAP-000019;2.13.0;OFST062000;OF_FUND_LISTING_VALID_FROM;LISTING;ONE_TO_MANY;IDENTITY_DATE;NONE;YES;YES;VALIDATED;40b562a10e92cf809449302e8c9eacf785f5c8a66ff644d1a5c36fc4380cebb4;official:v2.13.0:OFST062000;Date of first listing maps to canonical listing business-valid start date
MAP-000020;2.13.0;OFST062000;OF_FUND_LISTING_VALID_FROM_STATUS;LISTING;ONE_TO_MANY;CONSTANT_KNOWN;NONE;YES;YES;VALIDATED;40b562a10e92cf809449302e8c9eacf785f5c8a66ff644d1a5c36fc4380cebb4;official:v2.13.0:OFST062000;Presence of an explicit Openfunds Listing Date establishes canonical valid_from_status KNOWN
MAP-000021;2.13.0;OFST062010;OF_FUND_LISTING_TRADING_QUOTE_UNIT_CODE;LISTING;TRANSFORMED;TRIM_AND_UPPERCASE_QUOTE_UNIT_CODE;NONE;YES;YES;VALIDATED;40b562a10e92cf809449302e8c9eacf785f5c8a66ff644d1a5c36fc4380cebb4;official:v2.13.0:OFST062010;Preserve the exact Openfunds Listing Currency or minor-unit quote code in canonical Listing quote-unit semantics; NO_PARENT_CURRENCY_INFERENCE; NO_FACTOR_INFERENCE
