LEGAL_COUNTRY_ISO3;LEGAL_COUNTRY_CODE;LEGAL_COUNTRY_NAME_FR;LOCAL_SCOPE_TYPE;LOCAL_SCOPE_CODE;LOCAL_EXCHANGE_CODE;LOCAL_CURRENCY_CODE;REGIONAL_SCOPE_CODE;CONTINENT_SCOPE_CODE;ROUTING_BASIS_CODE;STATUS;VERSION
SEN;SENEGAL;Sénégal;MARKET_ZONE;UEMOA;BRVM;XOF;AFRICA_OUEST;AFRICA;COMMON_EXCHANGE_ZONE;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
SLE;SIERRA_LEONE;Sierra Leone;COUNTRY;SIERRA_LEONE;;SLE;AFRICA_OUEST;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
SOM;SOMALIE;Somalie;COUNTRY;SOMALIE;;SOS;AFRICA_EST;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
SSD;SOUDAN_DU_SUD;Soudan du Sud;COUNTRY;SOUDAN_DU_SUD;;SSP;AFRICA_EST;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
STP;SAO_TOME_ET_PRINCIPE;Sao Tomé-et-Principe;COUNTRY;SAO_TOME_ET_PRINCIPE;;STN;AFRICA_CENTRALE;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
SWZ;ESWATINI;Eswatini;COUNTRY;ESWATINI;JSE;SZL;AFRICA_AUSTRALE;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
SYC;SEYCHELLES;Seychelles;COUNTRY;SEYCHELLES;;SCR;AFRICA_EST;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
TCD;TCHAD;Tchad;MARKET_ZONE;CEMAC;BVMAC;XAF;AFRICA_CENTRALE;AFRICA;COMMON_EXCHANGE_ZONE;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
TGO;TOGO;Togo;MARKET_ZONE;UEMOA;BRVM;XOF;AFRICA_OUEST;AFRICA;COMMON_EXCHANGE_ZONE;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
TUN;TUNISIE;Tunisie;COUNTRY;TUNISIE;;TND;AFRICA_NORD;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
TZA;TANZANIE;Tanzanie;COUNTRY;TANZANIE;;TZS;AFRICA_EST;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
UGA;OUGANDA;Ouganda;COUNTRY;OUGANDA;;UGX;AFRICA_EST;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
ZAF;AFRIQUE_DU_SUD;Afrique du Sud;COUNTRY;AFRIQUE_DU_SUD;JSE;ZAR;AFRICA_AUSTRALE;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
ZMB;ZAMBIE;Zambie;COUNTRY;ZAMBIE;;ZMW;AFRICA_EST;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
ZWE;ZIMBABWE;Zimbabwe;COUNTRY;ZIMBABWE;;ZWG;AFRICA_EST;AFRICA;COUNTRY_MARKET;VALIDATED_FROM_EXISTING_GEOGRAPHY_REGISTRY;0.1.0
